店名,住所,緯度,経度,点数,レビュー数,URL
キッチン オリジン 日吉中央通り Kitchen Origin Hiyoshichuodori,神奈川県横浜市港北区日吉本町1-16-20 Kanagawa,35.55388770000001,139.6440797,4.2,26.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89%E4%B8%AD%E5%A4%AE%E9%80%9A%E3%82%8A-kitchen-origin-hiyoshichuodori/nWVRj3lxR-GgHArpgXaG-A
とんかつ後藤 Tonkatsu Goto,神奈川県 川崎市 高津区 千年 665 Kawasaki,35.5772743,139.6285682,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E5%BE%8C%E8%97%A4-tonkatsu-goto/kRn0KFEVR5CKiFlocLwC_g
キッチン オリジン 高津 Kitchen Origin Takatsu,神奈川県川崎市高津区二子4-1-5 Kanagawa,35.60292570000001,139.6171003,4.3,49.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E9%AB%98%E6%B4%A5-kitchen-origin-takatsu/tpjELe1oTbCMLur0jjNhyw
インド・ネパール料理 YABIN 溝の口店 YABIN mizonokutitenn,2 Chome-7-3 Shimosakunobe Takatsu-Ku Kawasaki-Shi Kanagawa-ken,35.600273,139.606512,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%BB%E3%83%8D%E3%83%8F%E3%83%BC%E3%83%AB%E6%96%99%E7%90%86-yabin-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-yabin-mizonokutitenn/n0FXOvAmSES5zTcvWCbZVA
私のアジア 梶ヶ谷店 Watashi no Asia Kajigaya,川崎市高津区 梶ケ谷2-1-14 1F Kawasaki,35.5909403,139.60425759999998,4.6,13.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%A7%81%E3%81%AE%E3%82%A2%E3%82%B7%E3%82%A2-%E6%A2%B6%E3%83%B6%E8%B0%B7%E5%BA%97-watashi-no-asia-kajigaya/uXi0lt7LSB6s9ryBjmL7AA
どーもどーも DOUMODOUMO,川崎市高津区下作延2－7－3 Kanagawa,35.6002185,139.60646599999998,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A8%E3%83%BC%E3%82%82%E3%81%A8%E3%83%BC%E3%82%82-doumodoumo/tOGF4xUsR9WRDY09ooC0jA
アジアンダイニングバルサ Asian dining BARSHA,神奈川県 川崎市 多摩区 堰2-7-4,35.6130745111481,139.59424060802365,4.4,33.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AF%E3%83%8F%E3%83%AB%E3%82%B5-asian-dining-barsha/WgrsWmqtT2ayPhjth-yqjw
ブッダム 綱島店 Buddham Asian Dining&Delivery Tsunashima,4 Chome-7-１３ Tsunashimanishi Kōhoku-Ku Yokohama-Shi Kanagawa-Ken  Japan,35.54153520000001,139.6274176,4.7,47.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%95%E3%83%83%E3%82%BF%E3%83%A0-%E7%B6%B1%E5%B3%B6%E5%BA%97-buddham-asian-dining%26delivery-tsunashima/3j3ZcSBqTJKezQpUvVm6vQ
もつ焼き 良 Motsuyaki Ryo,Tsunashimahigashi 3 Chome−5 横浜市港北区 神奈川県,35.539482,139.64219,3.4,11.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%82%E3%81%A4%E7%84%BC%E3%81%8D-%E8%89%AF-motsuyaki-ryo/RhnaTpdaTnWWWQ0tZpwQTA
キッチン オリジン 川崎神明町 Kitchen Origin Kawasakishinmeicho,神奈川県川崎市幸区神明町1-13 Kanagawa,35.5405615,139.6909523,4.0,23.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E5%B7%9D%E5%B4%8E%E7%A5%9E%E6%98%8E%E7%94%BA-kitchen-origin-kawasakishinmeicho/EcO9u0WKQXi_TAo-b-4obQ
