address,close_hour,detail_url,latitude,longitude,name,open_hour,point,postal_code,reviews,url
神奈川県川崎市中原区新丸子東２－８８５,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2586%25E3%2583%258B%25E3%2583%25BC%25E3%2582%25B9-%25E6%25AD%25A6%25E8%2594%25B5%25E5%25B0%258F%25E6%259D%2589%25E5%25BA%2597-dennys-musashi-kosugi/HZ38aBt6Q7i40am1CYt1sw/location-and-hours/,35.5790206,139.6635248,デニーズ 武蔵小杉店 Denny's MUSASHI-KOSUGI,11:00,4.3,211-0004,211,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%BA%97-dennys-musashi-kosugi/HZ38aBt6Q7i40am1CYt1sw/?promo=247a0d4f-fdc8-4773-9a85-7278bf88641b
神奈川県川崎市中原区下新城２−６−１,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2592%25E3%2582%25B5%25E3%2583%258F%25E3%2583%2583%25E3%2583%2588-%25E4%25B8%258B%25E6%2596%25B0%25E5%259F%258E-pizza-hut-shimoshinnjou/sopRqEHlRpybq4IhG6S79w/location-and-hours/,35.5781014,139.6331639,ピザハット 下新城 Pizza Hut SHIMOSHINNJOU,11:00,4.5,211-0042,159,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%92%E3%82%B5%E3%83%8F%E3%83%83%E3%83%88-%E4%B8%8B%E6%96%B0%E5%9F%8E-pizza-hut-shimoshinnjou/sopRqEHlRpybq4IhG6S79w/
川崎市高津区 二子2-5-48 キャッスルくらや 1F Kawasaki,14:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2581%25E3%2583%25A7%25E3%2582%25A6%25E3%2582%25BF%25E3%2583%25AA-chautari/LZSznZ30Qamlmgc3lU2O5A/location-and-hours/,35.6070565,139.6207773,チョウタリ CHAUTARI,17:00,4.6,213-0002,64,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%81%E3%83%A7%E3%82%A6%E3%82%BF%E3%83%AA-chautari/LZSznZ30Qamlmgc3lU2O5A/
神奈川県川崎市高津区溝口1-1-3 味の食彩館みぞのくち 3階,20:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2598%25E3%2583%2583%25E3%2582%25AB%25E3%2583%25BC%25E3%2582%25B9-%25E6%25AD%25A6%25E8%2594%25B5%25E6%25BA%259D%25E3%2583%258E%25E5%258F%25A3%25E5%25BA%2597-beckers-musashi-mizonokuchi/Wq9RupnYRQG1Yku5zmjQwA/location-and-hours/,35.5988674,139.6116898,ベッカーズ 武蔵溝ノ口店 Becker's Musashi-Mizonokuchi,11:00,4.1,213-0001,194,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%98%E3%83%83%E3%82%AB%E3%83%BC%E3%82%B9-%E6%AD%A6%E8%94%B5%E6%BA%9D%E3%83%8E%E5%8F%A3%E5%BA%97-beckers-musashi-mizonokuchi/Wq9RupnYRQG1Yku5zmjQwA/
Nakahara-Ku Kizuki 2 Chome−5 Kawasaki-Shi Kanagawa-ken,22:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E7%2584%25BC%25E8%2582%2589-%25E3%2581%25AE%25E3%2582%2593%25E3%2581%25A1%25E3%2582%2583%25E3%2582%2593-yakiniku-nonchan/cNFo-EboRPGoyh8TLWczhw/location-and-hours/,35.564629,139.654879,焼肉 のんちゃん Yakiniku Nonchan,11:00,4.3,211-0025,73,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%84%BC%E8%82%89-%E3%81%AE%E3%82%93%E3%81%A1%E3%82%83%E3%82%93-yakiniku-nonchan/cNFo-EboRPGoyh8TLWczhw/
川崎市中原区 上新城2-6-14 志村ビル1F Kawasaki,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E4%25B8%25BC%25E4%25B8%25B8-%25E6%25AD%25A6%25E8%2594%25B5%25E6%2596%25B0%25E5%259F%258E%25E5%25BA%2597-donmaru-musasisinjyouten/3ord5Bl9RyS1WmsC7UkVzw/location-and-hours/,35.5882376,139.6308443,丼丸 武蔵新城店 donmaru musasisinjyouten,11:00,4.4,211-0045,160,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E4%B8%BC%E4%B8%B8-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-donmaru-musasisinjyouten/3ord5Bl9RyS1WmsC7UkVzw/
川崎市高津区 溝口2-6-2 Kawasaki,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E6%259D%25B1%25E4%25BA%25AC%25E9%25A4%2583%25E5%25AD%2590%25E8%25BB%2592-%25E6%25BA%259D%25E3%2581%25AE%25E5%258F%25A3%25E5%25BA%2597-tokyo-gyoza-ken/7_xckd4PScCFxyRAmk2etg/location-and-hours/,35.600551,139.6102104,東京餃子軒 溝の口店 Tokyo Gyoza ken,11:00,4.3,213-0001,179,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%9D%B1%E4%BA%AC%E9%A4%83%E5%AD%90%E8%BB%92-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-tokyo-gyoza-ken/7_xckd4PScCFxyRAmk2etg/
Kitayachō Nakahara-Ku Kawasaki-Shi Kanagawa-ken,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25A2%25E3%2582%25B7%25E3%2582%25A2%25E3%2583%25B3%25E3%2582%25BF%25E3%2582%25A4%25E3%2583%258B%25E3%2583%25B3%25E3%2582%25AF%25E3%2582%25A2%25E3%2583%25A0%25E3%2583%25AA%25E3%2583%2583%25E3%2583%2588-asian-dinning-amrit/ht6TWrH6Q6u1YvlIlAjaHg/location-and-hours/,35.561679,139.671067,アジアンダイニングアムリット Asian Dinning AMRIT,11:00,4.6,211-0015,117,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%A2%E3%82%B7%E3%82%A2%E3%83%B3%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AF%E3%82%A2%E3%83%A0%E3%83%AA%E3%83%83%E3%83%88-asian-dinning-amrit/ht6TWrH6Q6u1YvlIlAjaHg/
1 Chome-11-20 Mizonokuchi Takatsu-Ku 柴原ビル１F Kawasaki-Shi Kanagawa-ken,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E7%2589%259B%25E3%2582%25BF%25E3%2583%25B3%25E6%259C%25A8%25E6%259D%2591%25E5%25B1%258B-%25E6%25BA%259D%25E5%258F%25A3%25E6%259C%25AC%25E5%25BA%2597-gyutan-kimuraya-mizonokuchi-honten/zg14hcJHTCKsaJXfaUkevw/location-and-hours/,35.6002593,139.612176,牛タン木村屋 溝口本店 Gyutan Kimuraya MIZONOKUCHI-HONTEN,15:00,4.4,213-0001,109,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%89%9B%E3%82%BF%E3%83%B3%E6%9C%A8%E6%9D%91%E5%B1%8B-%E6%BA%9D%E5%8F%A3%E6%9C%AC%E5%BA%97-gyutan-kimuraya-mizonokuchi-honten/zg14hcJHTCKsaJXfaUkevw/
神奈川県横浜市港北区日吉本町1丁目23-3 1F Yokohama,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%259D%25E3%2581%25AF%25E5%2587%25A6-%25E3%2581%259F%25E3%2581%25A4%25E5%2590%2589-japanese-noodle-tatsukichi/Q_k2ZnpoRaK_1n197p79KA/location-and-hours/,35.5528251,139.646146,そば処 たつ吉 Japanese Noodle TATSUKICHI,11:30,4.3,223-0062,150,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%9D%E3%81%AF%E5%87%A6-%E3%81%9F%E3%81%A4%E5%90%89-japanese-noodle-tatsukichi/Q_k2ZnpoRaK_1n197p79KA/
