address,close_hour,latitude,longitude,name,open_hour,point,postal_code,reviews,url
川崎市中原区上小田中4-2-1 Beans1F,23:00,35.5813758,139.6409824,すき家 武蔵中原店 Sukiya Musashinakahara,10:00,,211-0053,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-sukiya-musashinakahara/nAfdxT6ySHWlKcGwkN0mEA/
神奈川県川崎市幸区北加瀬３丁目１６－５,22:00,35.5564107,139.6592126,バーミヤン 北加瀬店 Bamiyan Kitakase,10:30,4.5,212-0057,159,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E5%8C%97%E5%8A%A0%E7%80%AC%E5%BA%97-bamiyan-kitakase/6mWY5LNrRxuzwo8Qvsl_cw/
神奈川県川崎市高津区北見方３丁目６－３３,22:00,35.597229,139.63181,バーミヤン 川崎北見方店 Bamiyan Kawasaki Kitamigata,10:30,4.2,213-0005,91,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E5%B7%9D%E5%B4%8E%E5%8C%97%E8%A6%8B%E6%96%B9%E5%BA%97-bamiyan-kawasaki-kitamigata/LNCT4I2IR8iq2Cz8W4WoXg/
神奈川県川崎市高津区溝口２丁目３－１３,22:00,35.5998771,139.6096381,バーミヤン 溝の口店 Bamiyan Mizonokuchi,10:30,4.5,213-0001,102,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-bamiyan-mizonokuchi/NwDRwsDqS7-xf7e3844hsA/
神奈川県川崎市高津区子母口496-1,21:00,35.5729162,139.6317033,大分中津 からあげ大臣 子母口店 Karaage Daijin SHIBOKUCHI,11:00,,213-0023,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%A4%A7%E5%88%86%E4%B8%AD%E6%B4%A5-%E3%81%8B%E3%82%89%E3%81%82%E3%81%91%E5%A4%A7%E8%87%A3-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-karaage-daijin-shibokuchi/j1vGgApiQBajMO-AfY6fjw/
神奈川県横浜市港北区日吉本町1-16-20 Kanagawa,21:00,35.5538877,139.6440797,キッチン オリジン 日吉中央通り Kitchen Origin Hiyoshichuodori,10:00,4.2,223-0062,26,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89%E4%B8%AD%E5%A4%AE%E9%80%9A%E3%82%8A-kitchen-origin-hiyoshichuodori/nWVRj3lxR-GgHArpgXaG-A/
神奈川県川崎市高津区溝口1-12-14 ﾏｲﾌﾟﾗｻﾞﾋﾞﾙ 2階,22:00,35.6004018,139.6131365,博多もつ鍋 熱中屋 溝の口店 Hakata Motsunabe Necchuya Mizonokuchi,17:00,,213-0001,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%8D%9A%E5%A4%9A%E3%82%82%E3%81%A4%E9%8D%8B-%E7%86%B1%E4%B8%AD%E5%B1%8B-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-hakata-motsunabe-necchuya-mizonokuchi/BtQLP0p6Q6y5OtmjlLtcKw/
1 Chome-11-14 Shinjō Nakahara-Ku ソシアルビル１Ｆ Kawasaki-Shi Kanagawa-ken,22:00,35.5846,139.631194,新城仲通り中央酒場とり吉 Shinjo Torikichi,17:00,,211-0044,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%96%B0%E5%9F%8E%E4%BB%B2%E9%80%9A%E3%82%8A%E4%B8%AD%E5%A4%AE%E9%85%92%E5%A0%B4%E3%81%A8%E3%82%8A%E5%90%89-shinjo-torikichi/vyh6JL7bR3i9qbjskPPXzA/
5-Chōme-9-6 Futago Takatsu-Ku Kawasaki Kanagawa  Japan,22:00,35.60141239999999,139.6160864,原価ビストロBAN！溝の口 Genka Bistro BAN! MIZONOKUCHI,17:00,,213-0002,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%8E%9F%E4%BE%A1%E3%83%92%E3%82%B9%E3%83%88%E3%83%ADban!%E6%BA%9D%E3%81%AE%E5%8F%A3-genka-bistro-ban!-mizonokuchi/g43q4X41QqauVWoABDNH7Q/
2 Chome-276 Kosugimachi Nakahara-Ku Kawasaki-Shi Kanagawa-ken,21:00,35.577454,139.656808,銀座洋食三笠會舘武蔵小杉店 Ginza Yoshoku Mikasa Kaikan,11:00,4.6,211-0063,87,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%8A%80%E5%BA%A7%E6%B4%8B%E9%A3%9F%E4%B8%89%E7%AC%A0%E6%9C%83%E8%88%98%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%BA%97-ginza-yoshoku-mikasa-kaikan/hzTrEntDQVeTwhOD3Ui1hA/
