address,close_hour,detail_url,latitude,longitude,name,open_hour,point,postal_code,reviews,url
川崎市中原区上小田中4-2-1,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%2599%25E3%2581%258D%25E5%25AE%25B6-%25E6%25AD%25A6%25E8%2594%25B5%25E4%25B8%25AD%25E5%258E%259F%25E5%25BA%2597-sukiya-musashinakahara/nAfdxT6ySHWlKcGwkN0mEA/location-and-hours/,35.5813758,139.6409824,すき家 武蔵中原店 Sukiya Musashinakahara,10:00,,Beans1F,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-sukiya-musashinakahara/nAfdxT6ySHWlKcGwkN0mEA/
神奈川県川崎市高津区溝口1-15-5,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/tapiru-%25E6%25BA%259D%25E3%2581%25AE%25E5%258F%25A3%25E5%25BA%2597-tapiru-mizonokuchi/WUnRH2zkRt-nwxMXIB-N8Q/location-and-hours/,35.60051334992541,139.61361743956124,TAPIRU 溝の口店 TAPIRU MIZONOKUCHI,11:00,4.3,1FA画,86,https://www.ubereats.com/ja-JP/yokohama/food-delivery/tapiru-%E6%BA%9D%E3%81%AE%E5%8F%A3%E5%BA%97-tapiru-mizonokuchi/WUnRH2zkRt-nwxMXIB-N8Q/
川崎市高津区 明津188,18:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%86%E3%81%95%E3%81%8D%2526%E3%81%BF%E3%81%8B%E3%82%93-usagi-and-mikan/bPHOHmKFTtOHDF8iWVm2Pw/location-and-hours/,35.5680313,139.6352608,うさぎ＆みかん USAGI and MIKAN,11:00,,Kawasaki,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%86%E3%81%95%E3%81%8D%26%E3%81%BF%E3%81%8B%E3%82%93-usagi-and-mikan/bPHOHmKFTtOHDF8iWVm2Pw/
1 Chome-2-11 Hiyoshihonchō,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%25AD%25E3%2583%2583%25E3%2582%25B3%25E3%2583%259E%25E3%2583%25B3-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-roccoman-hiyoshi/kA9W3LXVRzGZTmsrFuK4kw/location-and-hours/,35.554089,139.646069,ロッコマン 日吉店 ROCCOMAN Hiyoshi,11:30,,Kōhoku-Ku,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%AD%E3%83%83%E3%82%B3%E3%83%9E%E3%83%B3-%E6%97%A5%E5%90%89%E5%BA%97-roccoman-hiyoshi/kA9W3LXVRzGZTmsrFuK4kw/
神奈川県川崎市中原区上平間1700-125,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E7%25A5%259E%25E4%25BF%259D%25E7%2594%25BA%25E3%2583%2592%25E3%2583%25BC%25E3%2583%2595-%25E5%25B9%25B3%25E9%2596%2593-jinbocho-beef-hirama/5B7AEHyFSu6HrdH0-wSgFw/location-and-hours/,35.5596316,139.6754851,神保町ビーフ 平間 Jinbocho Beef Hirama,11:00,4.6,Kanagawa,19,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%A5%9E%E4%BF%9D%E7%94%BA%E3%83%92%E3%83%BC%E3%83%95-%E5%B9%B3%E9%96%93-jinbocho-beef-hirama/5B7AEHyFSu6HrdH0-wSgFw/
神奈川県川崎市中原区新城３－２－１６,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%259E%25E3%2582%25AF%25E3%2583%2588%25E3%2583%258A%25E3%2583%25AB%25E3%2583%2588-%25E6%25AD%25A6%25E8%2594%25B5%25E6%2596%25B0%25E5%259F%258E%25E5%25BA%2597-mcdonalds-musashi-shinjo/9UpEn7QgQ4K78ItzftBY-w/location-and-hours/,35.586586,139.629997,マクドナルド 武蔵新城店 McDonald's MUSASHI SHINJO,10:30,4.5,2110044,500,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9E%E3%82%AF%E3%83%88%E3%83%8A%E3%83%AB%E3%83%88-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-mcdonalds-musashi-shinjo/9UpEn7QgQ4K78ItzftBY-w/
神奈川県川崎市中原区上平間1700-125,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/omuricecafe-yellowgourmet-%25E5%25B9%25B3%25E9%2596%2593-hirama/uhQu_bMwQpeNf71JdkiKlA/location-and-hours/,35.5596316,139.6754851,Omuricecafé Yellowgourmet 平間 Hirama,11:00,,Kanagawa,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/omuricecafe-yellowgourmet-%E5%B9%B3%E9%96%93-hirama/uhQu_bMwQpeNf71JdkiKlA/
神奈川県川崎市中原区上平間1700-125,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%258F%25E3%2583%25BC%25E3%2582%25AB%25E3%2583%25BC%25E3%2582%25B9%25E3%2582%25AB%25E3%2583%2595%25E3%2582%25A7%25E3%2582%25AF%25E3%2583%25AA%25E3%2583%25AB%25E3%2583%2595%25E3%2582%25AF%25E3%2583%25A8%25E3%2582%25B7-%25E5%25B9%25B3%25E9%2596%2593-burgers-cafe-grill-fukuyoshi-hirama/zpbT_STDQJ-RDGMCqzQETQ/location-and-hours/,35.5596316,139.6754851,バーガーズカフェグリルフクヨシ 平間 Burgers Cafe Grill Fukuyoshi Hirama,11:00,,Kanagawa,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%82%AB%E3%83%BC%E3%82%B9%E3%82%AB%E3%83%95%E3%82%A7%E3%82%AF%E3%83%AA%E3%83%AB%E3%83%95%E3%82%AF%E3%83%A8%E3%82%B7-%E5%B9%B3%E9%96%93-burgers-cafe-grill-fukuyoshi-hirama/zpbT_STDQJ-RDGMCqzQETQ/
神奈川県川崎市中原区上平間1700-125,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E7%2589%259B%25E3%2581%259F%25E3%2582%2593%25E5%25B0%2582%25E9%2596%2580%25E5%25BA%2597%25E3%2581%259B%25E3%2582%2593%25E3%2582%258A-%25E5%25B9%25B3%25E9%2596%2593-gyutan-senri-hirama/YfAUSxabTzuIV4ycmAgNcg/location-and-hours/,35.5596316,139.6754851,牛たん専門店せんり 平間 Gyutan Senri Hirama,11:00,,Kanagawa,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E7%89%9B%E3%81%9F%E3%82%93%E5%B0%82%E9%96%80%E5%BA%97%E3%81%9B%E3%82%93%E3%82%8A-%E5%B9%B3%E9%96%93-gyutan-senri-hirama/YfAUSxabTzuIV4ycmAgNcg/
神奈川県川崎市中原区新城3-8-7,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25AD%25E3%2583%2583%25E3%2583%2581%25E3%2583%25B3-%25E3%2582%25AA%25E3%2583%25AA%25E3%2582%25B7%25E3%2583%25B3-%25E6%25AD%25A6%25E8%2594%25B5%25E6%2596%25B0%25E5%259F%258E-kitchen-origin-musashishinjo/FAybm5AKQEG7ZXlE0R-EYQ/location-and-hours/,35.5855852,139.630586,キッチン オリジン 武蔵新城 Kitchen Origin Musashishinjo,10:00,4.6,Kanagawa,17,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E-kitchen-origin-musashishinjo/FAybm5AKQEG7ZXlE0R-EYQ/
